No.,Company,Sector,Entry Valuation^^ ($B),Valuation ($B),Entry,Location,Select Investors,sequoia capital
1,InMobi,Adtech - Mobile Ads,1,1,Sep-11,Bangalore/Singapore,"KPCB, Sherpalo Ventures, SoftBank",#VALUE!
2,Flipkart^,E-Commerce,1,37.6,Feb-12,Bangalore/Singapore,"Accel, Tiger Global, Naspers, SoftBank, Tencent",no
3,Mu Sigma,SaaS - Analytics,1,1.5,Feb-13,Bangalore/Chicago,"Accel, Sequoia Capital, General Atlantic",no
4,Snapdeal*,E-Commerce,1.8,2.4,Oct-14,Delhi,"Kalaari Capital, Nexus Ventures, Bessemer, SoftBank, Alibaba",no
5,PayTM^,Fintech - Payments & Wallet,1.7,16,Feb-15,Noida,"Saama Capital, Elevation Capital, Alibaba, Berkshire Hathway",no
6,Ola Cabs,Mobility - Ride Aggregator,1.6,7.3,Mar-15,Bangalore,"Tiger Global, Matrix Partners, Steadview, SoftBank, Tencent",no
7,Quikr*,Marketplace - Classifieds,1,1.5,Apr-15,Bangalore,"Matrix Partners, Omidyar Network, Norwest, Kinnevik, Steadview Capital",no
8,Zomato^,Foodtech,1,5.4,Sep-15,Gurgaon,"Info Edge, Sequoia Capital, Vy Capital, Alibaba, Steadview Capital",no
9,ShopClues*,E-Commerce,1.1,1.1,Jan-16,Gurgaon,"Nexus Ventures, Helion Ventures, Beenos, Tiger Global, Others",no
10,Hike*,Social Media - Messaging,1.4,1.4,Aug-16,Delhi,"Tiger Global, Tencent, Foxconn",no
11,BYJUS,Edtech,1,22,Jan-18,Bangalore,"Aarin Capital, Sequoia Capital, Lightspeed Ventures, Tencent, General Atlantic, Tiger Global",no
12,PayTM Mall*,E-Commerce,1.9,3,Apr-18,Noida,"Elevation Capital, Alibaba, SoftBank, eBay",no
13,Swiggy,Foodtech,1.4,10.7,Jun-18,Bangalore,"Accel, Elevation Capital, Norwest, Naspers, Tencent, Invesco",no
14,PolicyBazaar^,Fintech - Insurance,1,2.4,Jun-18,Gurgaon,"Info Edge, Intel, Inventus Capital, Tiger Global, SoftBank, Tencent, Steadview Capital",no
15,Freshworks^,SaaS - CRM,1.5,3.5,Jul-18,Chennai/San Mateo,"Accel, Tiger Global, Google, Sequoia Capital, Steadview Capital",no
16,OYO Rooms,Proptech - Hotel Booking,4.9,9.6,Sep-18,Gurgaon,"Lightspeed Ventures, Sequoia Capital, SoftBank",no
17,Udaan,B2B E-Commerce,1,3.1,Sep-18,Bangalore,"Lightspeed Ventures, DST Global, Tencent",no
18,BillDesk,Fintech - B2B Payments,1.6,1.6,Nov-18,Mumbai,"SIDBI VC, TA Associates, General Atlantic",no
19,Delhivery^,Logistics Services,1.6,3,Jan-19,Gurgaon,"Nexus Ventures, Multiples PE, Tiger Global, Carlyle, SoftBank, Fosun Group, Steadview Capital",no
20,Rivigo,Logistics Services - Trucks,1.1,1.1,Feb-19,Gurgaon,"Elevation Capital, Warburg Pincus",no
21,BigBasket,E-Commerce - Groceries,1.1,2,Mar-19,Bangalore,"Ascent Capital, Helion Ventures, Bessemer, IFC, Alibaba",no
22,Dream11,Gaming,1,8,Apr-19,Mumbai,"Kalaari Capital, Tencent, Multiples PE, Steadview, Alpha Wave Global",no
23,Druva Software,SaaS - Data Management,1,2,Jun-19,Pune/Sunnyvale,"WestBridge, Nexus Ventures, Sequoia Capital",no
24,Icertis,SaaS - Contract Management,1,5,Jul-19,Pune/Bellevue,"Eight Roads, B Capital, PremjiInvest",no
25,CitiusTech,IT Services - Healthcare,1.1,1.1,Jul-19,Mumbai/Princeton,"General Atlantic, Baring Asia",no
26,Ola Electric,Mobility - Electric,1.1,5,Jul-19,Bangalore,"SoftBank, Tiger Global, Matrix Partners",no
27,Lenskart,E-Commerce - Eyewear,1.1,4.5,Sep-19,Delhi,"SoftBank, Kedaara Capital, TPG, Chiratae Ventures, TR Capital",no
28,Pine Labs,Fintech - PoS Payment Solutions,1.6,5,Jan-20,Noida,"Sequoia Capital India, New Atlantic Ventures, Altimeter Capital, Temasek, Mastercard",no
29,Nykaa^,E-Commerce - Personal Care & Cosmetics,1.2,1.8,Mar-20,Mumbai,"Techpro Ventures, TVS Capital, Sharrp Ventures, TPG Growth, Steadview Capital",no
30,Postman,SaaS - API Development & Testing,2,5.6,Jun-20,Bangalore/San Francisco,"Nexus Ventures, Charles River Ventures, Insight Venture Partners",no
31,Unacademy,Edtech,1.4,3.4,Sep-20,Bangalore,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India, Elevation Capital, General Atlantic, SoftBank, Steadview Capital",no
32,RazorPay,Fintech - Payment Gateway,1,7.5,Oct-20,Bangalore,"Matrix Partners India, Tiger Global, Sequoia Capital India, DST Global",no
33,Cars24,Marketplace - Used Cars,1,3.3,Nov-20,Gurgaon,"Asia Venture Group, Apoletto, Unbound, DST Global, Sequoia Capital India, Alpha Wave Global",no
34,PhonePe^,Fintech - Payments,5.5,12,Dec-20,Bangalore,"Tiger Global, Tencent",no
35,Zenoti,SaaS - Salon & Spa Management,1,1.5,Dec-20,Hyderabad/Bellevue,"Accel India, Norwest, Tiger Global, Steadview Capital, Advent International",no
36,Dailyhunt,Content - News,1,5,Dec-20,Bangalore,"Matrix Partners India, Omidyar Network, Sequoia Capital India, Alpha Wave Global, CPPIB",no
37,Glance InMobi,Content - Lockscreen,1,2,Dec-20,Bangalore/Singapore,"Mithril Capital, Google",no
38,Digit,Fintech - General Insurance,1.9,4,Jan-21,Bangalore,"Fairfax Holdings, A91 Partners, Faering Capital, TVS Capital",no
39,Innovaccer,SaaS - Healthcare Data Analytics,1.3,3.2,Feb-21,Noida/San Francisco,"WestBridge, Lightspeed Ventures, M12 (Microsoft), Tiger Global, Steadview Capital",no
40,Infra.Market,B2B E-Commerce - Construction Materials,1,2.5,Feb-21,Thane,"Accel India, Nexus Venture Partners, Tiger Global, Evolvence India",no
